ds,yhat,yhat_lower,yhat_upper
2017-01-01 00:00:00,28391.79803291706,24622.332369966527,32649.087941269532
2017-01-01 01:00:00,25855.90173226058,21857.727903389678,29768.787064723387
2017-01-01 02:00:00,24578.429488838854,20763.88262083939,28723.308971556628
2017-01-01 03:00:00,23651.34699778755,19839.02972557444,27491.86909096478
2017-01-01 04:00:00,22524.02926994355,18768.24833716631,26422.60499743675
2017-01-01 05:00:00,21457.5534506865,17451.274438976037,25116.58247342777
2017-01-01 06:00:00,21206.88333567026,17270.0753671431,25338.0445087513
2017-01-01 07:00:00,22319.444088561613,18417.69799152595,25859.280612982
2017-01-01 08:00:00,24686.482945313684,20679.70693930902,28534.752799250964
2017-01-01 09:00:00,27646.615491618166,23551.61574589503,31711.972338928368
2017-01-01 10:00:00,30417.497851645177,26083.61408782542,34465.058569694
2017-01-01 11:00:00,32433.47396761739,28441.357358754725,36444.70661896867
2017-01-01 12:00:00,33413.376210611605,29509.98078036036,37405.94567079347
2017-01-01 13:00:00,33327.917845230084,29438.17262483701,37444.53742290112
2017-01-01 14:00:00,32476.71241367527,28419.250792365077,36239.87707204792
2017-01-01 15:00:00,31600.903299397287,27456.41055553452,35312.61815188397
2017-01-01 16:00:00,31724.193739756058,27543.107755143992,35605.60875843822
2017-01-01 17:00:00,33577.57256126512,29709.23546243598,37505.3530720421
2017-01-01 18:00:00,36926.25010616674,33209.35679222075,41017.791103760974
2017-01-01 19:00:00,40400.835144360855,36118.39888223652,44292.91205321168
2017-01-01 20:00:00,42160.355257254014,38122.76099230955,45718.36458922913
2017-01-01 21:00:00,41036.07056081652,36816.525287617864,44684.203213701534
2017-01-01 22:00:00,37320.88899640995,33431.43779745165,41439.912786255074
2017-01-01 23:00:00,32568.53071344044,28625.63690899366,36235.10847997677
2017-01-02 00:00:00,28535.814441947015,24719.10869864142,32408.470352339493
2017-01-02 01:00:00,26088.898823771087,21936.932655977205,29962.45215444812
2017-01-02 02:00:00,24896.069556454484,21023.44494469481,28827.314220937093
2017-01-02 03:00:00,24048.562908310254,20219.87219353693,27976.90892849171
2017-01-02 04:00:00,22995.085723490272,19113.57425059466,26807.357440554246
2017-01-02 05:00:00,21996.115474860202,18088.729517118903,25698.319588460112
2017-01-02 06:00:00,21806.091169624793,17962.101598748177,25598.29420886886
2017-01-02 07:00:00,22971.993537106508,18999.408178968428,26644.181381840313
2017-01-02 08:00:00,25384.710222122347,21438.94266950983,29196.919942720066
2017-01-02 09:00:00,28382.585516583033,24430.824446225673,32169.800191488393
2017-01-02 10:00:00,31183.094932063268,27319.656837157218,35306.50011734921
2017-01-02 11:00:00,33220.49376624153,29396.336996055095,37019.20174112557
2017-01-02 12:00:00,34213.61789073434,30203.831434381093,37968.09499099419
2017-01-02 13:00:00,34133.275289334815,30289.068913720574,37775.95003038102
2017-01-02 14:00:00,33279.26342354406,29224.3620067993,37369.06187898304
2017-01-02 15:00:00,32392.995717564565,28635.877411543548,36247.06285452985
2017-01-02 16:00:00,32498.527472999605,28715.33519013624,36456.96465811152
2017-01-02 17:00:00,34327.276543405285,30375.684515779118,38529.67853346992
2017-01-02 18:00:00,37644.953301029556,33691.54269365095,41332.64169670684
2017-01-02 19:00:00,41082.73077005868,36970.911497683475,45059.0784017432
2017-01-02 20:00:00,42800.25749850898,38642.34016370738,46708.9428733309
2017-01-02 21:00:00,41629.463132648394,37857.64862336108,45660.34959351225
2017-01-02 22:00:00,37863.9650265706,33783.05487832189,41919.6769711803
2017-01-02 23:00:00,33058.22351997097,29273.648471040113,36791.942104440874
2017-01-03 00:00:00,28969.818898263497,25040.654483760973,33116.251947513556
2017-01-03 01:00:00,26465.68312330579,22227.935676711615,30397.95864662983
2017-01-03 02:00:00,25214.87730393379,21236.10277461982,29127.889070237823
2017-01-03 03:00:00,24309.405592400093,20333.712650397363,28128.28553354529
2017-01-03 04:00:00,23198.725741352428,19293.931634356337,27499.282108559677
2017-01-03 05:00:00,22144.03999570608,18121.88557949902,26099.62092839782
2017-01-03 06:00:00,21900.477240473047,17723.340888246337,25815.246749090325
2017-01-03 07:00:00,23015.66493968625,19104.21637891533,27043.306290205164
2017-01-03 08:00:00,25381.086690381948,21531.19174730054,29149.165559986857
2017-01-03 09:00:00,28335.625019558698,24060.305707396335,32652.284037169196
2017-01-03 10:00:00,31097.22980745692,27319.87843454707,35929.4907109604
2017-01-03 11:00:00,33100.561566478136,29506.922528218864,36877.42124502797
2017-01-03 12:00:00,34064.78786387569,29902.80352652856,38000.40773914754
2017-01-03 13:00:00,33960.971468812924,29967.35406998657,38053.02257035597
2017-01-03 14:00:00,33089.085337788994,28954.192618267432,37111.68139541916
2017-01-03 15:00:00,32190.637757113087,28254.4859924236,36001.253055921676
2017-01-03 16:00:00,32289.6979626077,28075.611773416287,36436.341631127245
2017-01-03 17:00:00,34117.617567585236,30075.964169130002,38236.71144771707
