Actual Power,Predicted Power
40045.7283,40021.2023817343
41172.04459,40937.518426263065
42252.134210000004,42305.35923328215
42962.05861,43643.22352750926
43709.47215,44446.29545206303
45062.721489999996,45206.43936695459
46451.30854,46664.77225284584
47675.14353,48070.62700609546
49020.98433,49310.566428312966
50299.26756000001,50617.28630309203
51682.41693,51865.07370962613
53349.35197999999,53249.37481449459
54677.746719999996,54870.03728941611
56185.99773,56057.22855955378
57125.30575,57540.36694082382
58220.105180000006,58451.29929133888
59553.83670000001,59506.482993981765
60558.95240999999,60684.91169783476
61813.86079000001,61575.364670851806
62338.32489,62746.415746828934
62986.399529999995,63085.49047876734
63276.73455000001,63616.80163009232
63742.94934999999,63707.88528380892
64208.34045,64165.58855559473
64338.75552,64712.39533855037
64427.06895000001,64876.668777192164
64694.072400000005,64902.732911565116
65244.453570000005,65123.646556662025
65265.77736,65639.30238744128
65612.71770000001,65572.45080072664
66138.1092,65909.42054242105
66190.34719,66530.87173114636
65758.1403,66534.4110181911
66045.52579,65938.46650435343
65793.35509,66190.17397914396
65524.487380000006,65856.86837219153
65393.06735,65559.0775799489
65212.18976000001,65553.93850031872
65084.69718,65259.181797462275
64771.50542,65002.58784187086
64428.53802999999,64611.89003884511
64336.45427000001,64244.0829159348
64219.605429999996,64120.35304110987
64206.00936,64224.47892403481
63558.76556,64247.845767460625
63195.010279999995,63518.2880866731
63131.42063999999,63108.790543192306
62903.52669,63098.93918885039
62739.041849999994,62932.456236311096
62474.35679,63144.07888998622
